party,total_allocation,iusaf_share,tsac_share,sosac_share,component_iusaf_amt,component_tsac_amt,component_sosac_amt,is_sids,is_ldc,un_band
Algeria,6.427184457696323,0.006251776072747941,0.030449220548135984,0.0,5.9704461494742835,0.4567383082220397,0.0,False,False,Band 3: 0.01% - 0.1%
Egypt,5.3471885165917765,0.005399261153736857,0.012726274318205163,0.0,5.156294401818698,0.1908941147730774,0.0,False,False,Band 4: 0.1% - 1.0%
Libya,6.307867246172079,0.006251776072747941,0.022494739779853043,0.0,5.9704461494742835,0.33742109669779563,0.0,False,False,Band 3: 0.01% - 0.1%
Morocco,6.056031606728013,0.006251776072747941,0.005705697150248595,0.0,5.9704461494742835,0.08558545725372892,0.0,False,False,Band 3: 0.01% - 0.1%
Sudan,7.414201920902055,0.007388462631429384,0.023881340525799634,0.0,7.055981813015061,0.3582201078869945,0.0,False,True,Band 2: 0.001% - 0.01%
Tunisia,6.000239016691267,0.006251776072747941,0.0019861911477988387,0.0,5.9704461494742835,0.029792867216982582,0.0,False,False,Band 3: 0.01% - 0.1%
Burundi,8.146442044206019,0.008525149190110827,0.00032830451001206347,0.0,8.141517476555839,0.004924567650180952,0.0,False,True,Band 1: <= 0.001%
Comoros,8.911105123527923,0.008525149190110827,2.3791849421045566e-05,0.02564102564102564,8.141517476555839,0.00035687774131568345,0.7692307692307692,True,True,Band 1: <= 0.001%
Djibouti,7.06042696403263,0.007388462631429384,0.0002963434011713252,0.0,7.055981813015061,0.0044451510175698775,0.0,False,True,Band 2: 0.001% - 0.01%
Eritrea,8.164755414391788,0.008525149190110827,0.0015491958557298999,0.0,8.141517476555839,0.023237937835948495,0.0,False,True,Band 1: <= 0.001%
Ethiopia,7.272390250855716,0.007388462631429384,0.01442722918937701,0.0,7.055981813015061,0.21640843784065514,0.0,False,True,Band 2: 0.001% - 0.01%
Kenya,6.081838853358116,0.006251776072747941,0.007426180258922134,0.0,5.9704461494742835,0.111392703883832,0.0,False,False,Band 3: 0.01% - 0.1%
Madagascar,7.16755165175631,0.007388462631429384,0.00743798924941661,0.0,7.055981813015061,0.11156983874124914,0.0,False,True,Band 2: 0.001% - 0.01%
Malawi,7.07406157306409,0.007388462631429384,0.0012053173366019215,0.0,7.055981813015061,0.01807976004902882,0.0,False,True,Band 2: 0.001% - 0.01%
Mauritius,7.8255955402519595,0.007388462631429384,2.5530533741981728e-05,0.02564102564102564,7.055981813015061,0.0003829580061297259,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Mozambique,7.206783273636139,0.007388462631429384,0.010053430708071904,0.0,7.055981813015061,0.15080146062107855,0.0,False,True,Band 2: 0.001% - 0.01%
Rwanda,7.060712696345667,0.007388462631429384,0.0003153922220404052,0.0,7.055981813015061,0.004730883330606079,0.0,False,True,Band 2: 0.001% - 0.01%
Seychelles,7.82530079490623,0.007388462631429384,5.880844026695841e-06,0.02564102564102564,7.055981813015061,8.821266040043761e-05,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Somalia,7.176284705135954,0.007388462631429384,0.008020192808059497,0.0,7.055981813015061,0.12030289212089244,0.0,False,True,Band 2: 0.001% - 0.01%
South Sudan,7.177164914073427,0.007388462631429384,0.008078873403891093,0.0,7.055981813015061,0.12118310105836638,0.0,False,True,Band 2: 0.001% - 0.01%
Uganda,7.0944348622835305,0.007388462631429384,0.002563536617897935,0.0,7.055981813015061,0.03845304926846903,0.0,False,True,Band 2: 0.001% - 0.01%
