party,total_allocation,iusaf_share,tsac_share,sosac_share,component_iusaf_amt,component_tsac_amt,component_sosac_amt,is_sids,is_ldc,un_band
Algeria,6.5002021368261556,0.006251776072747941,0.030449220548135984,0.0,5.951580926754761,0.5486212100713955,0.0,False,False,Band 3: 0.01% - 0.1%
Egypt,5.369298351238462,0.005399261153736857,0.012726274318205163,0.0,5.140001709470019,0.22929664176844267,0.0,False,False,Band 4: 0.1% - 1.0%
Libya,6.356881658139808,0.006251776072747941,0.022494739779853043,0.0,5.951580926754761,0.4053007313850476,0.0,False,False,Band 3: 0.01% - 0.1%
Morocco,6.054383770916955,0.006251776072747941,0.005705697150248595,0.0,5.951580926754761,0.10280284416219393,0.0,False,False,Band 3: 0.01% - 0.1%
Sudan,7.463970468454403,0.007388462631429384,0.023881340525799634,0.0,7.03368654980108,0.43028391865332355,0.0,False,True,Band 2: 0.001% - 0.01%
Tunisia,5.98736728093141,0.006251776072747941,0.0019861911477988387,0.0,5.951580926754761,0.03578635417664901,0.0,False,False,Band 3: 0.01% - 0.1%
Burundi,8.121707425005331,0.008525149190110827,0.00032830451001206347,0.0,8.1157921728474,0.0059152521579322,0.0,False,True,Band 1: <= 0.001%
Comoros,8.88545161358385,0.008525149190110827,2.3791849421045566e-05,0.02564102564102564,8.1157921728474,0.00042867150568192455,0.7692307692307692,True,True,Band 1: <= 0.001%
Djibouti,7.039025940183512,0.007388462631429384,0.0002963434011713252,0.0,7.03368654980108,0.0053393903824325685,0.0,False,True,Band 2: 0.001% - 0.01%
Eritrea,8.143704930208939,0.008525149190110827,0.0015491958557298999,0.0,8.1157921728474,0.027912757361539704,0.0,False,True,Band 1: <= 0.001%
Ethiopia,7.29363027884796,0.007388462631429384,0.01442722918937701,0.0,7.03368654980108,0.2599437290468808,0.0,False,True,Band 2: 0.001% - 0.01%
Kenya,6.085382709740222,0.006251776072747941,0.007426180258922134,0.0,5.951580926754761,0.13380178298546228,0.0,False,False,Band 3: 0.01% - 0.1%
Madagascar,7.167701102195354,0.007388462631429384,0.00743798924941661,0.0,7.03368654980108,0.1340145523942739,0.0,False,True,Band 2: 0.001% - 0.01%
Malawi,7.055403449078721,0.007388462631429384,0.0012053173366019215,0.0,7.03368654980108,0.021716899277642046,0.0,False,True,Band 2: 0.001% - 0.01%
Mauritius,7.803377317418118,0.007388462631429384,2.5530533741981728e-05,0.02564102564102564,7.03368654980108,0.00045999838626910447,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Mozambique,7.214825023008039,0.007388462631429384,0.010053430708071904,0.0,7.03368654980108,0.1811384732069596,0.0,False,True,Band 2: 0.001% - 0.01%
Rwanda,7.039369153801711,0.007388462631429384,0.0003153922220404052,0.0,7.03368654980108,0.005682604000630349,0.0,False,True,Band 2: 0.001% - 0.01%
Seychelles,7.80302327759854,0.007388462631429384,5.880844026695841e-06,0.02564102564102564,7.03368654980108,0.00010595856669193192,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Somalia,7.178191000297855,0.007388462631429384,0.008020192808059497,0.0,7.03368654980108,0.14450445049677513,0.0,False,True,Band 2: 0.001% - 0.01%
South Sudan,7.179248282517672,0.007388462631429384,0.008078873403891093,0.0,7.03368654980108,0.14556173271659248,0.0,False,True,Band 2: 0.001% - 0.01%
Uganda,7.079875271090354,0.007388462631429384,0.002563536617897935,0.0,7.03368654980108,0.04618872128927433,0.0,False,True,Band 2: 0.001% - 0.01%
Zambia,7.204922503916547,0.007388462631429384,0.009503827480446567,0.0,7.03368654980108,0.17123595411546796,0.0,False,True,Band 2: 0.001% - 0.01%
Zimbabwe,7.122795400941891,0.007388462631429384,0.004945661982015839,0.0,7.03368654980108,0.08910885114081274,0.0,False,False,Band 2: 0.001% - 0.01%
Angola,7.320857300007235,0.007388462631429384,0.01593836575669936,0.0,7.03368654980108,0.2871707502061555,0.0,False,True,Band 2: 0.001% - 0.01%
Cameroon,6.060467174713332,0.006251776072747941,0.006043334304042154,0.0,5.951580926754761,0.10888624795857205,0.0,False,False,Band 3: 0.01% - 0.1%
Central African Republic,8.259292320407704,0.008525149190110827,0.00796445263424125,0.0,8.1157921728474,0.1435001475603038,0.0,False,True,Band 1: <= 0.001%
Chad,7.323736608884733,0.007388462631429384,0.01609817130090305,0.0,7.03368654980108,0.2900500590836536,0.0,False,True,Band 2: 0.001% - 0.01%
Congo,7.112349268334329,0.007388462631429384,0.004365887467644847,0.0,7.03368654980108,0.07866271853324944,0.0,False,False,Band 2: 0.001% - 0.01%
Democratic Republic of the Congo,7.555889525059654,0.007388462631429384,0.028982972718958274,0.0,7.03368654980108,0.5222029752585745,0.0,False,True,Band 2: 0.001% - 0.01%
Equatorial Guinea,7.040147718922186,0.007388462631429384,0.00035860364119308336,0.0,7.03368654980108,0.0064611691211058486,0.0,False,False,Band 2: 0.001% - 0.01%
Gabon,6.010933848231956,0.006251776072747941,0.0032941675659972115,0.0,5.951580926754761,0.05935292147719586,0.0,False,False,Band 3: 0.01% - 0.1%
Botswana,6.0821241843663225,0.006251776072747941,0.007245327685324639,0.0,5.951580926754761,0.13054325761156213,0.0,False,False,Band 3: 0.01% - 0.1%
Eswatini,7.037648478816518,0.007388462631429384,0.00021989242882427927,0.0,7.03368654980108,0.003961929015437455,0.0,False,False,Band 2: 0.001% - 0.01%
