iso3c,cbd_party_name,wb_name,is_cbd_party,wb_income_group,land_area_km2_override,cbd_budget_name,un_scale_name,notes
AFG,Afghanistan,Afghanistan,True,Low income,,,,
AGO,Angola,Angola,True,Lower middle income,,,,
ALB,Albania,Albania,True,Upper middle income,,,,
AND,Andorra,Andorra,True,High income,,,,
ARE,United Arab Emirates,United Arab Emirates,True,High income,,,,
ARG,Argentina,Argentina,True,Upper middle income,,,,
ARM,Armenia,Armenia,True,Upper middle income,,,,
ATG,Antigua and Barbuda,Antigua and Barbuda,True,High income,,,,
AUS,Australia,Australia,True,High income,,,,
AUT,Austria,Austria,True,High income,,,,
AZE,Azerbaijan,Azerbaijan,True,Upper middle income,,,,
BDI,Burundi,Burundi,True,Low income,,,,
BEL,Belgium,Belgium,True,High income,,,,
BEN,Benin,Benin,True,Lower middle income,,,,
BFA,Burkina Faso,Burkina Faso,True,Low income,,,,
BGD,Bangladesh,Bangladesh,True,Lower middle income,,,,
BGR,Bulgaria,Bulgaria,True,High income,,,,
BHR,Bahrain,Bahrain,True,High income,,,,
BHS,Bahamas,"Bahamas, The",True,High income,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,True,Upper middle income,,,,
BLR,Belarus,Belarus,True,Upper middle income,,,Belarus (formerly Byelorussian Soviet Socialist Republic),
BLZ,Belize,Belize,True,Upper middle income,,,,
BOL,Bolivia (Plurinational State of),Bolivia,True,Lower middle income,,,Bolivia,
BRA,Brazil,Brazil,True,Upper middle income,,,,
BRB,Barbados,Barbados,True,High income,,,,
BRN,Brunei Darussalam,Brunei Darussalam,True,High income,,,,
BTN,Bhutan,Bhutan,True,Lower middle income,,,,
BWA,Botswana,Botswana,True,Upper middle income,,,,
CAF,Central African Republic,Central African Republic,True,Low income,,,,
CAN,Canada,Canada,True,High income,,,,
CHE,Switzerland,Switzerland,True,High income,,,,
CHL,Chile,Chile,True,High income,,,,
CHN,China,China,True,Upper middle income,,,,
