iso3c,is_ldc,is_sids,is_lldc,ldc_source_date,sids_source_date,lldc_source_date,notes
AFG,True,False,True,2025-01-01,2025-01-01,2025-01-01,
AGO,True,False,False,2025-01-01,2025-01-01,2025-01-01,
ALB,False,False,False,2025-01-01,2025-01-01,2025-01-01,
AND,False,False,False,2025-01-01,2025-01-01,2025-01-01,
ARE,False,False,False,2025-01-01,2025-01-01,2025-01-01,
ARG,False,False,False,2025-01-01,2025-01-01,2025-01-01,
ARM,False,False,True,2025-01-01,2025-01-01,2025-01-01,
ATG,False,True,False,2025-01-01,2025-01-01,2025-01-01,
AUS,False,False,False,2025-01-01,2025-01-01,2025-01-01,
AUT,False,False,False,2025-01-01,2025-01-01,2025-01-01,
AZE,False,False,True,2025-01-01,2025-01-01,2025-01-01,
BDI,True,False,True,2025-01-01,2025-01-01,2025-01-01,
BEL,False,False,False,2025-01-01,2025-01-01,2025-01-01,
BEN,True,False,False,2025-01-01,2025-01-01,2025-01-01,
BFA,True,False,True,2025-01-01,2025-01-01,2025-01-01,
BGD,True,False,False,2025-01-01,2025-01-01,2025-01-01,
BGR,False,False,False,2025-01-01,2025-01-01,2025-01-01,
BHR,False,False,False,2025-01-01,2025-01-01,2025-01-01,
BHS,False,True,False,2025-01-01,2025-01-01,2025-01-01,
BIH,False,False,False,2025-01-01,2025-01-01,2025-01-01,
BLR,False,False,False,2025-01-01,2025-01-01,2025-01-01,
BLZ,False,True,False,2025-01-01,2025-01-01,2025-01-01,
BOL,False,False,True,2025-01-01,2025-01-01,2025-01-01,
BRA,False,False,False,2025-01-01,2025-01-01,2025-01-01,
BRB,False,True,False,2025-01-01,2025-01-01,2025-01-01,
BRN,False,False,False,2025-01-01,2025-01-01,2025-01-01,
BTN,False,False,True,2025-01-01,2025-01-01,2025-01-01,"CDP 2021 recommendation, effective Dec 2023"
BWA,False,False,True,2025-01-01,2025-01-01,2025-01-01,
CAF,True,False,True,2025-01-01,2025-01-01,2025-01-01,
CAN,False,False,False,2025-01-01,2025-01-01,2025-01-01,
CHE,False,False,False,2025-01-01,2025-01-01,2025-01-01,
CHL,False,False,False,2025-01-01,2025-01-01,2025-01-01,
CHN,False,False,False,2025-01-01,2025-01-01,2025-01-01,
CIV,False,False,False,2025-01-01,2025-01-01,2025-01-01,
CMR,False,False,False,2025-01-01,2025-01-01,2025-01-01,
COD,True,False,False,2025-01-01,2025-01-01,2025-01-01,
COG,False,False,False,2025-01-01,2025-01-01,2025-01-01,
