Country,UN Share (%),Band,Band Weight,IUSAF Share (%),Total Allocation (USD M),IPLC Component (USD M),State Component (USD M)
Australia,2.04,Band 5: 1.0% - 10.0%,0.75,0.4083,0.2,0.1,0.1
Canada,2.543,Band 5: 1.0% - 10.0%,0.75,0.4083,0.2,0.1,0.1
Denmark,0.531,Band 4: 0.1% - 1.0%,0.95,0.5171,0.26,0.13,0.13
Finland,0.386,Band 4: 0.1% - 1.0%,0.95,0.5171,0.26,0.13,0.13
Japan,6.93,Band 5: 1.0% - 10.0%,0.75,0.4083,0.2,0.1,0.1
New Zealand,0.302,Band 4: 0.1% - 1.0%,0.95,0.5171,0.26,0.13,0.13
Norway,0.653,Band 4: 0.1% - 1.0%,0.95,0.5171,0.26,0.13,0.13
Russian Federation,2.094,Band 5: 1.0% - 10.0%,0.75,0.4083,0.2,0.1,0.1
Sweden,0.822,Band 4: 0.1% - 1.0%,0.95,0.5171,0.26,0.13,0.13
Total,16.301,,,4.2188,2.11,1.05,1.05
