Country,Band,$50m IPLC (USD M),$200m IPLC (USD M),$500m IPLC (USD M),$1bn IPLC (USD M)
Australia,Band 5: 1.0% - 10.0%,0.1,0.41,1.02,2.04
Canada,Band 5: 1.0% - 10.0%,0.1,0.41,1.02,2.04
Denmark,Band 4: 0.1% - 1.0%,0.13,0.52,1.29,2.59
Finland,Band 4: 0.1% - 1.0%,0.13,0.52,1.29,2.59
Japan,Band 5: 1.0% - 10.0%,0.1,0.41,1.02,2.04
New Zealand,Band 4: 0.1% - 1.0%,0.13,0.52,1.29,2.59
Norway,Band 4: 0.1% - 1.0%,0.13,0.52,1.29,2.59
Russian Federation,Band 5: 1.0% - 10.0%,0.1,0.41,1.02,2.04
Sweden,Band 4: 0.1% - 1.0%,0.13,0.52,1.29,2.59
Total,,1.05,4.22,10.55,21.09
Cali Fund (%),,2.1094,2.1094,2.1094,2.1094
