Country,$50m Total,$50m IPLC,$50m State,$200m Total,$200m IPLC,$200m State,$500m Total,$500m IPLC,$500m State,$1bn Total,$1bn IPLC,$1bn State
Australia,0.26,0.13,0.13,1.02,0.51,0.51,2.55,1.28,1.28,5.1,2.55,2.55
Canada,0.26,0.13,0.13,1.02,0.51,0.51,2.55,1.28,1.28,5.1,2.55,2.55
Denmark,0.26,0.13,0.13,1.02,0.51,0.51,2.55,1.28,1.28,5.1,2.55,2.55
Finland,0.26,0.13,0.13,1.02,0.51,0.51,2.55,1.28,1.28,5.1,2.55,2.55
Japan,0.26,0.13,0.13,1.02,0.51,0.51,2.55,1.28,1.28,5.1,2.55,2.55
New Zealand,0.26,0.13,0.13,1.02,0.51,0.51,2.55,1.28,1.28,5.1,2.55,2.55
Norway,0.26,0.13,0.13,1.02,0.51,0.51,2.55,1.28,1.28,5.1,2.55,2.55
Russian Federation,0.26,0.13,0.13,1.02,0.51,0.51,2.55,1.28,1.28,5.1,2.55,2.55
Sweden,0.26,0.13,0.13,1.02,0.51,0.51,2.55,1.28,1.28,5.1,2.55,2.55
Total,2.3,1.15,1.15,9.18,4.59,4.59,22.96,11.48,11.48,45.92,22.96,22.96
