Country,UN Share (%),Band,Band Weight,IUSAF Share (%),Total Allocation (USD M),IPLC Component (USD M),State Component (USD M)
Australia,2.04,Band 5: 1.0% - 10.0%,0.75,0.4083,4.08,2.04,2.04
Canada,2.543,Band 5: 1.0% - 10.0%,0.75,0.4083,4.08,2.04,2.04
Denmark,0.531,Band 4: 0.1% - 1.0%,0.95,0.5171,5.17,2.59,2.59
Finland,0.386,Band 4: 0.1% - 1.0%,0.95,0.5171,5.17,2.59,2.59
Japan,6.93,Band 5: 1.0% - 10.0%,0.75,0.4083,4.08,2.04,2.04
New Zealand,0.302,Band 4: 0.1% - 1.0%,0.95,0.5171,5.17,2.59,2.59
Norway,0.653,Band 4: 0.1% - 1.0%,0.95,0.5171,5.17,2.59,2.59
Russian Federation,2.094,Band 5: 1.0% - 10.0%,0.75,0.4083,4.08,2.04,2.04
Sweden,0.822,Band 4: 0.1% - 1.0%,0.95,0.5171,5.17,2.59,2.59
Total,16.301,,,4.2188,42.19,21.09,21.09
