Country,UN Share (%),Band,Band Weight,IUSAF Share (%),Total Allocation (USD M),IPLC Component (USD M),State Component (USD M)
Australia,2.04,Band 5: 1.0% - 10.0%,0.75,0.4083,0.82,0.41,0.41
Canada,2.543,Band 5: 1.0% - 10.0%,0.75,0.4083,0.82,0.41,0.41
Denmark,0.531,Band 4: 0.1% - 1.0%,0.95,0.5171,1.03,0.52,0.52
Finland,0.386,Band 4: 0.1% - 1.0%,0.95,0.5171,1.03,0.52,0.52
Japan,6.93,Band 5: 1.0% - 10.0%,0.75,0.4083,0.82,0.41,0.41
New Zealand,0.302,Band 4: 0.1% - 1.0%,0.95,0.5171,1.03,0.52,0.52
Norway,0.653,Band 4: 0.1% - 1.0%,0.95,0.5171,1.03,0.52,0.52
Russian Federation,2.094,Band 5: 1.0% - 10.0%,0.75,0.4083,0.82,0.41,0.41
Sweden,0.822,Band 4: 0.1% - 1.0%,0.95,0.5171,1.03,0.52,0.52
Total,16.301,,,4.2188,8.44,4.22,4.22
