party,total_allocation,state_component,iplc_component,WB Income Group,UN LDC,CBD Party,EU,un_band,un_band_weight
Belize,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Bhutan,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Burundi,8.525149190110827,4.262574595055414,4.262574595055414,Low income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Cabo Verde,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Central African Republic,8.525149190110827,4.262574595055414,4.262574595055414,Low income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Comoros,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Cook Islands,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Dominica,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Eritrea,8.525149190110827,4.262574595055414,4.262574595055414,Low income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Gambia,8.525149190110827,4.262574595055414,4.262574595055414,Low income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Grenada,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Guinea-Bissau,8.525149190110827,4.262574595055414,4.262574595055414,Low income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Kiribati,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Lesotho,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Liberia,8.525149190110827,4.262574595055414,4.262574595055414,Low income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Marshall Islands,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Micronesia (Federated States of),8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Nauru,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Niue,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Palau,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Saint Kitts and Nevis,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Saint Vincent and the Grenadines,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Samoa,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Sao Tome and Principe,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Sierra Leone,8.525149190110827,4.262574595055414,4.262574595055414,Low income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Solomon Islands,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
State of Palestine,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Timor-Leste,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Tonga,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Tuvalu,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,LDC,Party,Non-EU,Band 1: <= 0.001%,1.5
Vanuatu,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,-,Party,Non-EU,Band 1: <= 0.001%,1.5
Afghanistan,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Albania,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Angola,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Antigua and Barbuda,7.388462631429383,3.6942313157146915,3.6942313157146915,High income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Armenia,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Bangladesh,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Barbados,7.388462631429383,3.6942313157146915,3.6942313157146915,High income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Benin,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Burkina Faso,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Cambodia,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Chad,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Congo,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Democratic People's Republic of Korea,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Democratic Republic of the Congo,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Djibouti,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Equatorial Guinea,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Eswatini,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Ethiopia,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Fiji,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Georgia,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Guinea,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Haiti,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Honduras,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Jamaica,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Kyrgyzstan,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Lao People's Democratic Republic,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Madagascar,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Malawi,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Maldives,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Mali,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Mauritania,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Mauritius,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Mongolia,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Montenegro,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Mozambique,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Myanmar,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Namibia,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
